Station,StationID,Date,Time,SampleDescription,FieldNotes,Weather,NorthLat,WestLong,Chla,Pheophytin,DissAmmonia,DissCalcium,DissChloride,DissNitrateNitrite,DOC,TOC,DON,DissOrthoPhos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth,Secchi,Microcystis,SpCndSurface,FluorescenceSurface,DOSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,FluorescenceBottom,DOBottom,WTBottom,TurbidityBottom,pHBottom
C3,B9D82071328,2001-06-11,10:55,,"Boat past, putting out heavy wake","Light wind, clear, warm",N/A,N/A,3.36,1.64,0.44,N/A,6,0.12,N/A,N/A,0.3,0.05,0.08,15.9,97,11,ND,0.7,16,78,N/A,167,N/A,8.1,21.4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-07-10,08:05,,N/A,"Slight breeze, clear, warm",N/A,N/A,2.83,1.43,0.45,N/A,5,0.08,N/A,N/A,0.4,0.08,0.1,18,95,12,2,0.7,16,86,N/A,162,N/A,6,21.5,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-08-09,09:50,,N/A,"breezy, clear, warm",N/A,N/A,2.6,1.13,0.4,N/A,6,0.07,N/A,N/A,0.2,0.07,0.09,18.4,105,12,4,0.7,16.5,100,N/A,186,N/A,7.7,22.9,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-09-07,08:30,,N/A,"Warm, Calm, Hazy skies",N/A,N/A,2.4,1.53,0.5,N/A,9,0.09,N/A,N/A,0.2,0.1,0.11,19.3,412,12,1,0.8,16.8,76,N/A,219,N/A,7.7,21.6,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-10-05,07:55,,"cool. windy, sunny with high clouds","Cool, windy, sunny w/ high clouds",N/A,N/A,3.23,1.37,0.36,N/A,7,0.09,N/A,N/A,0.3,0.06,0.08,19,104,10,1,0.7,16,120,N/A,174,N/A,7.9,19.8,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-11-05,10:25,,N/A,"Warm, Light to moderate winds, clear to partly cloudy skies",N/A,N/A,1.71,0.94,0.67,N/A,7,0.19,N/A,N/A,0.3,0.11,0.14,19.5,124,8,2,1.1,14.5,158,N/A,219,N/A,7.4,16.2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-12-03,08:40,,River running fast & turbid,"Clear, Sunny, & calm",N/A,N/A,2.99,2.84,0.22,N/A,9,0.42,N/A,N/A,0.5,0.05,0.17,20.2,121,87,6,0.8,15,20,N/A,188,N/A,9.6,9.7,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-01-03,09:40,,N/A,"Foggy, cool",N/A,N/A,2.58,2.68,0.14,N/A,6,0.32,N/A,N/A,0.4,0.05,0.3,18.2,90,118,14,1.1,19,18,N/A,138,N/A,9.6,11.5,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-02-22,13:15,,N/A,"Sunny to overcast, breezy",N/A,N/A,5.76,2.25,0.15,N/A,7,0.26,N/A,N/A,0.1,0.03,0.07,16.7,109,36,6,0.4,17,40,N/A,185,N/A,10.1,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-03-04,13:15,,N/A,N/A,N/A,N/A,2.41,0.82,0.37,N/A,5,0.2,N/A,N/A,0.2,0.04,0.07,18.4,108,8,1,0.6,16,96,N/A,175,N/A,9.8,11.6,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-04-08,12:00,,With DPLA crew,"Sunshine,  light breeze",N/A,N/A,3.24,1.09,0.41,N/A,5,0.14,N/A,N/A,ND,0.03,0.07,15.3,82,10,ND,0.6,12.7,104,N/A,158,N/A,9.1,16.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-05-01,08:10,,N/A,N/A,N/A,N/A,3.6,1.49,0.46,N/A,6,0.15,N/A,N/A,0.2,0.04,0.07,15,96,6,4,0.7,16,120,N/A,163,N/A,9.3,15.14,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-06-07,14:00,,field sheets lost-data recorded on 1 sheet,"Slightly breezy 6-10mph, hot",N/A,N/A,5.07,1.73,0.56,N/A,9,0.16,N/A,N/A,0.4,0.09,0.13,16.9,109,7,2,1.1,16,108,N/A,183,N/A,8.1,24.9,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-07-15,09:10,,"BioVan broke down after C3, C10 sampled different date","Windy, high clouds, sunny",N/A,N/A,1.92,1.21,0.33,N/A,4,0.07,N/A,N/A,0.1,0.05,0.07,17,84,10,2,0.5,17,80,N/A,141,N/A,8.6,21.3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-08-13,09:00,,"cool, light breeze","Cool, light breeze",N/A,N/A,1.11,0.54,0.36,N/A,6,0.05,N/A,N/A,ND,0.06,0.09,16.1,101,6,2,0.5,17,120,N/A,162,N/A,7.9,22,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-09-20,11:30,,"sunny, hot, hazy","Sunny, hot, hazy",N/A,N/A,3.36,1.17,0.45,N/A,8,0.08,N/A,N/A,0.2,0.08,0.11,16.7,101,10,2,0.8,16,108,N/A,169,N/A,8.5,22,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-10-15,12:00,,"secchi 120cm + 1.7 ft, DO not recorded due to unreliable measurement","Overcast, cool, light winds",N/A,N/A,1.86,0.53,0.46,N/A,7,0.19,N/A,N/A,0.2,0.06,0.08,17.4,95,6,2,0.6,16.9,168,N/A,158,N/A,N/A,20.1,4.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-11-08,12:00,,N/A,"Overcast, cool, light winds",N/A,N/A,1.26,0.81,0.37,N/A,7,0.15,N/A,N/A,0.3,0.08,0.1,18.4,117,6,2,0.8,17,130,N/A,183,N/A,9.3,13.7,7.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2002-12-09,11:10,,N/A,Intermittent rain,N/A,N/A,2.24,1.79,0.72,N/A,9,0.18,N/A,N/A,0.3,0.07,0.12,17.6,68,5,ND,1.1,15,140,N/A,102,N/A,9.4,11.2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-01-10,13:15,,N/A,N/A,N/A,N/A,1.01,0.78,0.14,N/A,6,0.25,N/A,N/A,0.3,0.04,0.05,20.5,87,51,5,0.7,N/A,N/A,N/A,138,N/A,10.3,11.1,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-02-04,09:50,,N/A,N/A,N/A,N/A,1.56,0.47,0.14,N/A,4,0.2,N/A,N/A,0.2,0.04,0.08,19,93,42,5,0.4,17,44,N/A,142,N/A,10.4,10.3,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-03-12,10:45,,N/A,"Cool, overcast",N/A,N/A,4.51,1.8,0.39,N/A,7,0.2,N/A,N/A,0.5,0.02,0.05,17.9,111,7,1,0.5,16,104,N/A,186,N/A,10.3,14.3,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-04-08,10:20,,N/A,Clear warm,N/A,N/A,2.19,0.82,0.38,N/A,6,0.19,N/A,N/A,0.2,0.03,0.06,18,100,9,2,0.6,17,112,N/A,166,N/A,9.7,15.8,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-05-23,09:30,,YSI DO = 9.68 mg/L,N/A,N/A,N/A,2.77,0.99,0.16,N/A,5,0.11,N/A,N/A,0.7,0.04,0.08,17.2,82,50,5,0.4,19.3,60,N/A,127.7,N/A,9.5,19,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-06-05,07:55,,"sunny, warm, light winds",N/A,N/A,N/A,2.13,1.33,0.16,N/A,5,0.09,N/A,N/A,0.3,0.04,0.06,16.2,78,16,2,0.3,18,92,N/A,127.3,N/A,9.1,19.9,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-07-17,09:20,,N/A,"Hazy, Clear, Sunny, and Hot",N/A,N/A,4.17,2.11,0.22,N/A,4,0.08,N/A,N/A,0.5,0.05,0.07,15.3,79,20,4,0.6,18.3,96,N/A,123.7,N/A,8.5,22.4,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-08-04,11:30,,N/A,"Clear, Sunny, and warm",N/A,N/A,1.43,0.43,0.14,N/A,3,0.08,N/A,N/A,0.3,0.05,0.07,16.5,76,14,2,0.3,18,90,N/A,124,N/A,8.7,21.7,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-09-12,06:45,,N/A,N/A,N/A,N/A,1.78,1.02,0.31,N/A,7,0.11,N/A,N/A,0.4,0.06,0.08,16.5,114,9,2,0.5,17.3,88,N/A,186,N/A,8.4,20,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-10-15,08:45,,YSI DO = 8.8,"Sunny, clear, calm",N/A,N/A,1.27,0.75,0.58,N/A,7,0.15,N/A,N/A,0.9,0.1,0.12,15.8,86,4,1,ND,17,180,N/A,148,N/A,8.8,17.4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-11-27,07:45,,YSI DO = 9.6,N/A,N/A,N/A,1.68,0.66,0.86,N/A,10,0.2,N/A,N/A,1,0.11,0.14,18.1,116,5,2,1.2,17.6,135,N/A,194,N/A,10.1,10.3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2003-12-23,14:30,,N/A,"Cool, overcast, raining",N/A,N/A,1.91,1.21,0.16,N/A,6,0.3,N/A,N/A,0.2,0.05,0.08,19.6,107,36,5,0.2,17,50,N/A,170,N/A,7.4,10.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-01-13,11:55,,N/A,"Overcast, cool, light breeze",N/A,N/A,1.58,1.06,0.07,N/A,4,0.24,N/A,N/A,0.3,0.04,0.14,18.7,86,97,8,0.4,19.2,22,N/A,135.3,N/A,9.8,9.8,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-02-11,10:55,,N/A,"Sunny, warm, clear, no breeze",N/A,N/A,1.14,0.87,0.27,N/A,7,0.28,N/A,N/A,0.6,0.05,0.11,19.4,115,34,5,0.8,14,56,N/A,188,N/A,11.1,10.3,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-03-11,11:05,,N/A,"Sunny, warm, slightly overcast",N/A,N/A,5.33,2.06,0.06,N/A,3,0.18,N/A,N/A,0.3,0.03,0.09,18.5,86,50,4,0.5,22,24,N/A,144,N/A,10.9,14.7,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-04-09,10:23,,N/A,"Clear, sunny, warm, no breeze",N/A,N/A,8.19,2.6,0.2,N/A,3,0.08,N/A,N/A,0.3,0.03,0.06,14.2,67,20,3,0.4,21.4,104,N/A,120,N/A,10.3,15.9,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-05-20,14:00,,N/A,"Partially overcast, warm, med. winds up to 20mph",N/A,N/A,6.58,3.95,0.48,N/A,6,0.12,N/A,N/A,ND,0.06,0.1,15.4,104,11,1,0.7,15,96,N/A,168,N/A,8.2,20.6,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-06-11,13:25,,N/A,"Warm, sunny, no breeze",N/A,N/A,3.17,2.61,0.24,N/A,10,0.18,N/A,N/A,0.1,0.05,0.07,17.2,100,14,3,0.5,11.8,70,N/A,151,N/A,8,21.1,11.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-07-30,05:55,,N/A,"Clear, cool, windy",N/A,N/A,1.86,1.36,0.29,N/A,5,0.08,N/A,N/A,ND,0.06,0.07,15.9,83,10,2,0.4,13.2,96,N/A,141,N/A,8.2,20.4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-08-19,07:45,,N/A,"Windy (10-15 mph), sunny w/ a few clouds",N/A,N/A,1.82,1.22,0.34,N/A,9,0.11,N/A,N/A,0.1,0.06,0.06,17.8,112,8,2,0.6,13.9,142,N/A,178.5,N/A,7.7,22.3,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-09-17,07:10,,N/A,"Sunny, clear, cool, light breeze",N/A,N/A,2.99,1.77,0.47,N/A,9,0.12,N/A,N/A,0.2,0.08,0.11,16.2,99,7,3,0.7,12.3,118,N/A,176.2,N/A,7.8,21.2,7.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2004-10-20,09:40,,N/A,"Clearing skies, warming up, slight breeze",N/A,N/A,1.54,1.24,0.32,N/A,7,0.17,N/A,N/A,0.2,0.07,0.08,14.8,87,6,1,0.8,11.9,180,N/A,142.1,N/A,8.32,15.7,5.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2003-07-17,08:15,Special Comparison Study at Hood,N/A,"Hazy, Clear, Sunny, and Hot",N/A,N/A,2.55,1.34,0.21,N/A,4,0.08,N/A,N/A,0.4,0.05,0.07,15.6,80,18,3,0.5,11.3,80,N/A,124,N/A,8.4,22.2,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2003-08-04,10:30,,N/A,"Clear, Sunny, and warm",N/A,N/A,2.11,1.23,0.13,N/A,3,0.08,N/A,N/A,0.3,0.04,0.08,16.9,77,25,4,0.4,11,88,N/A,123,N/A,8.7,21.3,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2003-09-12,05:50,,N/A,N/A,N/A,N/A,1.65,1.27,0.27,N/A,8,ND,N/A,N/A,0.6,0.06,0.09,16.3,110,11,2,0.7,10.7,88,N/A,163,N/A,8.3,23.8,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2003-10-15,07:45,,N/A,"Sunny, clear, calm",N/A,N/A,1.44,1.16,0.44,N/A,7,0.14,N/A,N/A,1,0.09,0.11,15.6,90,6,2,1.1,7.6,120,N/A,108,N/A,9.2,16.8,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2003-11-27,07:15,,YSI DO = 9.7,N/A,N/A,N/A,1.55,0.89,0.53,N/A,8,0.22,N/A,N/A,0.7,0.09,0.07,17.2,113,7,2,0.7,19.4,130,N/A,187,N/A,9.9,10.1,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2003-12-23,14:45,,N/A,"Cool, overcast, raining",N/A,N/A,1.9,1.22,0.17,N/A,6,0.28,N/A,N/A,0.2,0.05,0.06,18.7,109,40,6,0.2,16,50,N/A,170,N/A,9,10.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-01-13,10:50,,N/A,"Overcast, cool, light breeze",N/A,N/A,1.94,1.21,0.08,N/A,4,0.25,N/A,N/A,0.5,0.04,0.15,19.2,90,89,7,0.7,13.2,N/A,N/A,135.3,N/A,9.5,10,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-02-11,10:00,,N/A,"Sunny, warm, clear, no breeze",N/A,N/A,1.45,0.84,0.25,N/A,6,0.27,N/A,N/A,0.6,0.05,0.11,19.3,115,36,5,0.7,12.5,N/A,N/A,197,N/A,10.9,10.3,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-03-11,10:40,,N/A,"Sunny, warm, slightly overcast",N/A,N/A,5.83,1.03,0.06,N/A,3,0.18,N/A,N/A,0.2,0.03,0.09,18.4,89,33,3,0.4,N/A,N/A,N/A,143,N/A,10.7,15,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-04-09,08:12,,N/A,"Clear, sunny, warm, no breeze",N/A,N/A,7.4,1.73,0.2,N/A,3,0.08,N/A,N/A,0.1,0.03,0.07,14.2,68,16,3,0.5,13.1,N/A,N/A,119,N/A,10.8,15.1,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-05-20,14:30,,N/A,"Partially overcast, warm, med. winds up to 20mph",N/A,N/A,8.46,3.05,0.68,N/A,12,0.12,N/A,N/A,0.3,0.09,0.14,15.9,122,17,3,1.3,N/A,N/A,N/A,183,N/A,8.4,20.7,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-06-11,12:45,,N/A,"Warm,sunny, no breeze",N/A,N/A,3.32,1.9,0.25,N/A,7,0.12,N/A,N/A,0.2,0.04,0.07,17.2,95,15,4,0.5,8.9,70,N/A,153,N/A,8.4,20.8,11.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-11-16,08:15,,WT and DO data are from the C3A Continuous Monitoring Data,"Foggy, Cool",N/A,N/A,2.45,1.67,0.33,N/A,9,0.19,N/A,N/A,0.5,0.05,0.09,17.9,129,6,2,0.6,10.2,98,N/A,233,N/A,8.7,14.1,7.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2004-12-14,07:45,,N/A,"Overcast, foggy and cool",N/A,N/A,0.68,5.04,0.34,N/A,10,0.32,N/A,N/A,0.8,0.07,0.12,18.2,139,22,4,0.6,10.6,40,N/A,238.1,N/A,9.1,12.9,35.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-01-13,08:45,,Water Depth was not sampled because of strong currents,"Cold, Foggy",N/A,N/A,1.45,1.04,0.11,N/A,13,0.3,N/A,N/A,0.4,0.05,0.13,18.3,116,47,4,0.5,N/A,32,N/A,189,N/A,10.6,8.7,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-02-25,08:15,,N/A,"Cool, overcast",N/A,N/A,2.16,1.61,0.15,N/A,7,0.15,N/A,N/A,0.3,0.04,0.12,16,104,46,4,0.6,13.1,36,N/A,183.6,N/A,9.9,12.6,51.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-03-15,09:10,,N/A,"Clear, sunny, warm, light breeze",N/A,N/A,2.08,0.91,0.31,N/A,9,0.18,N/A,N/A,0.1,0.05,0.09,17.2,118,11,4,0.6,13.2,96,N/A,212.7,N/A,9.2,15.7,8.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-04-13,08:15,,Depth not sampled because of high winds and strong current,"Clear, cool, sunny, windy",N/A,N/A,1.82,0.64,0.26,N/A,7,0.14,N/A,N/A,0.1,0.04,0.08,18.2,97,14,2,0.4,N/A,72,N/A,174.6,N/A,9,14.9,15.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-05-11,09:35,,N/A,mostly sunny winds up to 10 mph,N/A,N/A,4.87,4.16,0.12,N/A,9,0.13,N/A,N/A,0.1,0.02,0.14,16.6,90,79,11,0.5,13,32,N/A,161.4,N/A,8.3,17,57.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-06-09,08:50,,Oily sheen observed on water's surface,Partly Cloudy,N/A,N/A,1.08,0.37,0.23,N/A,5,0.1,N/A,N/A,0.3,0.04,0.04,17,79,18,1,0.4,10,76,N/A,137,N/A,7.7,17.5,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-07-07,08:40,,N/A,"Clear skies, light to medium winds, warm",N/A,N/A,1.3,0.66,0.36,N/A,6,0.1,N/A,N/A,0.4,0.06,0.08,17,81,16,3,0.6,10,76,N/A,147,N/A,7.8,22,10.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-08-19,04:35,,No Secchi - too dark,"Cool, overcast, medium to strong winds (20 mph)",N/A,N/A,2.21,1.29,0.44,N/A,6,0.1,N/A,N/A,0.3,0.07,0.09,16.7,99,6,5,0.8,13,N/A,N/A,167.8,N/A,8,21.5,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-09-30,06:30,,"Secchi measurement not taken, secchi disk left in Antioch","Mostly sunny, cool, light breeze (5mph)",N/A,N/A,1.55,0.93,0.31,N/A,6,0.08,N/A,N/A,0.2,0.05,0.07,16.5,81,9,3,0.5,10,N/A,N/A,147.2,N/A,7.8,19.1,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-10-31,15:50,,Discrete water collected inside station from flow thru pump,Sunny and warm with a light breeze,N/A,N/A,1.11,0.53,0.34,N/A,6,0.19,N/A,N/A,0.2,0.07,0.1,17.7,92,5,2,0.5,10,130,N/A,167,N/A,8.1,17.4,5.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-11-16,06:20,,DO data from US monitoring station. Too dark for secchi.,No weather observation written on data sheet,N/A,N/A,1.12,0.81,0.46,N/A,7,0.23,N/A,N/A,0.7,0.07,0.13,18,112,8,3,0.9,7.3,N/A,N/A,182.7,N/A,8.7,13.3,7.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2005-12-16,06:45,,N/A,No weather observation written on data sheet,N/A,N/A,1.78,0.85,0.36,N/A,8,0.24,N/A,N/A,0.8,0.07,0.09,17.6,109,9,ND,0.2,8.2,N/A,N/A,188,N/A,9.4,9.2,9.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
