"Phase","Week","Week_num","WeekStartDate","WeekEndDate","Stratum","NumOfSites","NumOfTows","RawCatch","TotalRawSampleVolume","AdjCatch","TotalEffSampleVolume","StratumVolume","nHat","nVar","nSE","lowCI","uppCI","SpatialCoverage"
"17_1","Week.9",9,2017-02-10,2017-02-16,"high.risk,low.density",7,43,0,162486.40375737,0,117351.291602545,183951788,0,NA,NA,NA,NA,""
"17_1","Week.9",9,2017-02-10,2017-02-16,"Total",34,170,7,618218.08094277,7,446490.836236445,NA,16174.4881325255,94964282.2648066,9744.96189139837,4655,41235,"Full"
"17_1","Week.10",10,2017-02-21,2017-02-23,"low.risk,high.density",4,20,1,41658.04787298,1,30086.3679082633,480724148,15980.514017636,255595863.305556,15987.3657400322,2208,57793,""
"17_1","Week.10",10,2017-02-21,2017-02-23,"low.risk,low.density",8,48,4,221407.81167582,4,159905.64176587,364627559,18474.2310554477,174742813.308535,13219.0322379717,4261,52979,""
"17_1","Week.10",10,2017-02-21,2017-02-23,"high.risk,high.density",7,31,0,111574.51283748,0,80581.5926048467,68806137,0,NA,NA,NA,NA,""
"17_1","Week.10",10,2017-02-21,2017-02-23,"high.risk,low.density",3,19,0,209279.97141744,0,151146.646023707,183951788,0,NA,NA,NA,NA,""
"17_1","Week.10",10,2017-02-21,2017-02-23,"Total",22,118,5,583920.34380372,5,421720.248302687,NA,34454.7450730837,430338676.614091,20744.6059643005,9924,87800,"Full"
"17_1","Week.11",11,2017-02-24,2017-03-02,"low.risk,high.density",11,52,2,342583.0961091,2,247421.124967683,480724148,15439.2288669811,179232199.968744,13387.7630681434,2688,50612,""
"17_1","Week.11",11,2017-02-24,2017-03-02,"low.risk,low.density",14,81,7,339590.6478195,7,245259.912314083,364627559,10406.4634883784,15492787.3818982,3936.08782700515,4754,19931,""
"17_1","Week.11",11,2017-02-24,2017-03-02,"high.risk,high.density",6,30,0,105453.81032802,0,76161.0852369033,68806137,0,NA,NA,NA,NA,""
"17_1","Week.11",11,2017-02-24,2017-03-02,"high.risk,low.density",13,96,1,605115.16758462,1,437027.621033337,183951788,2906.93121929657,17746505.5580616,4212.66015221518,205,13279,""
"17_1","Week.11",11,2017-02-24,2017-03-02,"Total",44,259,10,1392742.72184124,10,1005869.74355201,NA,28752.623574656,212471492.908704,14576.4019191536,10044,65479,"Full"
"17_1","Week.12",12,2017-03-06,2017-03-09,"low.risk,high.density",8,41,0,73233.76912698,0,52891.0554805967,480724148,0,NA,NA,NA,NA,""
"17_1","Week.12",12,2017-03-06,2017-03-09,"low.risk,low.density",11,87,1,500750.83758546,1,361653.38270061,364627559,1197.3876906054,1780961.43349835,1334.52667020871,137,4653,""
"17_1","Week.12",12,2017-03-06,2017-03-09,"high.risk,high.density",8,36,2,125195.54435388,2,90419.00425558,68806137,1522.19226229259,1159375.1993556,1076.74286594136,357,4331,""
"17_1","Week.12",12,2017-03-06,2017-03-09,"high.risk,low.density",8,60,1,200304.98546058,1,144664.71172153,183951788,1265.7574140059,1611561.20236256,1269.47280489287,174,4585,""
"17_1","Week.12",12,2017-03-06,2017-03-09,"Total",35,224,4,899485.1365269,4,649628.154158317,NA,3985.33736690389,4551897.83521652,2133.51771382769,1314,9398,"Full"
"17_1","Week.13",13,2017-03-13,2017-03-16,"low.risk,high.density",9,44,0,87410.15591154,0,63129.5570472233,480724148,0,NA,NA,NA,NA,""
"17_1","Week.13",13,2017-03-13,2017-03-16,"low.risk,low.density",8,56,3,203083.985918352,3,146671.767607699,364627559,31844.2550598529,560269043.312543,23670.0030273032,6966,93768,""
"17_1","Week.13",13,2017-03-13,2017-03-16,"high.risk,high.density",8,34,1,273968.41354806,1,197866.076451377,68806137,898.364082973449,1212916.63288646,1101.32494427687,87,3711,""
"17_1","Week.13",13,2017-03-13,2017-03-16,"high.risk,low.density",8,58,0,179721.79384698,0,129799.07333393,183951788,0,NA,NA,NA,NA,""
"17_1","Week.13",13,2017-03-13,2017-03-16,"Total",33,192,4,744184.349224932,4,537466.474440229,NA,32742.6191428263,561481959.945429,23695.6105628327,7435,94638,"Full"
"17_1","Week.14",14,2017-03-20,2017-03-23,"low.risk,high.density",6,28,0,51374.40615384,0,37103.7377777733,480724148,0,NA,NA,NA,NA,""
"17_1","Week.14",14,2017-03-20,2017-03-23,"low.risk,low.density",9,72,0,1018041.69171936,0,735252.332908427,364627559,0,NA,NA,NA,NA,""
"17_1","Week.14",14,2017-03-20,2017-03-23,"high.risk,high.density",7,32,0,281764.28052234,0,203496.42482169,68806137,0,NA,NA,NA,NA,""
"17_1","Week.14",14,2017-03-20,2017-03-23,"high.risk,low.density",7,49,0,161864.83046118,0,116902.377555297,183951788,0,NA,NA,NA,NA,""
"17_1","Week.14",14,2017-03-20,2017-03-23,"Total",29,181,0,1513045.20885672,0,1092754.87306319,NA,0,0,NA,NA,NA,"Full"
"17_1","Week.15",15,2017-03-24,2017-03-30,"low.risk,high.density",3,15,0,31435.19749986,0,22703.1981943433,480724148,0,NA,NA,NA,NA,""
"17_1","Week.15",15,2017-03-24,2017-03-30,"low.risk,low.density",6,48,1,517641.99502554,1,373852.55196289,364627559,2380.81973785078,7921859.92070533,2814.5798835182,246,9612,""
"17_1","Week.15",15,2017-03-24,2017-03-30,"high.risk,high.density",6,29,0,102037.09487664,0,73693.4574109067,68806137,0,NA,NA,NA,NA,""
"17_1","Week.15",15,2017-03-24,2017-03-30,"high.risk,low.density",9,68,0,563611.79693742,0,407052.964454803,183951788,0,NA,NA,NA,NA,""
"17_1","Week.15",15,2017-03-24,2017-03-30,"Total",24,160,1,1214726.08433946,1,877302.172022943,NA,2380.81973785078,7921859.92070533,2814.5798835182,246,9612,"Full"
"17_2","Week.1",1,2017-04-24,2017-04-28,"low.risk.high.density",6,12,0,12366.01270135,0,12366.01270135,855141511,0,0,NA,NA,NA,""
"17_2","Week.1",1,2017-04-24,2017-04-28,"Western low.risk.low.density",3,6,0,5343.50363932,0,5343.50363932,525571566,0,0,NA,NA,NA,""
"17_2","Week.1",1,2017-04-24,2017-04-28,"high.risk",6,12,0,11440.78847912,0,11440.78847912,403761732,0,0,NA,NA,NA,""
"17_2","Week.1",1,2017-04-24,2017-04-28,"Eastern low.risk.low.density",3,7,0,5633.35393621,0,5633.35393621,128797748,0,0,NA,NA,NA,""
"17_2","Week.1",1,2017-04-24,2017-04-28,"Total",18,37,0,34783.658756,0,34783.658756,NA,0,0,NA,NA,NA,"Full"
"17_2","Week.2",2,2017-05-01,2017-05-05,"low.risk.high.density",6,12,6,11560.49425762,85.2145810714155,11560.49425762,855141511,6303409.17894668,65526881090476.8,8094867.57708097,559562,26803457,""
"17_2","Week.2",2,2017-05-01,2017-05-05,"Western low.risk.low.density",3,6,0,5508.00778374,0,5508.00778374,525571566,0,0,NA,NA,NA,""
"17_2","Week.2",2,2017-05-01,2017-05-05,"high.risk",6,12,0,11841.98543913,0,11841.98543913,403761732,0,0,NA,NA,NA,""
"17_2","Week.2",2,2017-05-01,2017-05-05,"Eastern low.risk.low.density",3,6,0,5803.62018929,0,5803.62018929,128797748,0,0,NA,NA,NA,""
"17_2","Week.2",2,2017-05-01,2017-05-05,"Total",18,36,6,34714.10766978,85.2145810714155,34714.10766978,NA,6303409.17894668,65526881090476.8,8094867.57708097,559562,26803457,"Full"
"17_2","Week.3",3,2017-05-08,2017-05-12,"low.risk.high.density",4,8,0,7910.11726505,0,7910.11726505,855141511,0,0,NA,NA,NA,""
"17_2","Week.3",3,2017-05-08,2017-05-12,"Western low.risk.low.density",3,6,4,5739.99352465,6.11871745081381,5739.99352465,525571566,560248.700408043,357276874905.269,597726.42145489,69389,2115474,""
"17_2","Week.3",3,2017-05-08,2017-05-12,"high.risk",6,12,0,11940.99632033,0,11940.99632033,403761732,0,0,NA,NA,NA,""
"17_2","Week.3",3,2017-05-08,2017-05-12,"Eastern low.risk.low.density",3,6,0,6041.85497762,0,6041.85497762,128797748,0,0,NA,NA,NA,""
"17_2","Week.3",3,2017-05-08,2017-05-12,"Total",16,32,4,31632.96208765,6.11871745081381,31632.96208765,NA,560248.700408043,357276874905.269,597726.42145489,69389,2115474,"Full"
"17_2","Week.4",4,2017-05-15,2017-05-19,"low.risk.high.density",6,12,1,11162.70586893,53.7394433621879,11162.70586893,855141511,4116818.03109673,33570812103570.6,5794032.45620618,307485,18491330,""
"17_2","Week.4",4,2017-05-15,2017-05-19,"Western low.risk.low.density",3,5,0,4643.61032828,0,4643.61032828,525571566,0,0,NA,NA,NA,""
"17_2","Week.4",4,2017-05-15,2017-05-19,"high.risk",6,12,0,12325.79967542,0,12325.79967542,403761732,0,0,NA,NA,NA,""
"17_2","Week.4",4,2017-05-15,2017-05-19,"Eastern low.risk.low.density",3,6,0,5735.69223227,0,5735.69223227,128797748,0,0,NA,NA,NA,""
"17_2","Week.4",4,2017-05-15,2017-05-19,"Total",18,35,1,33867.8081049,53.7394433621879,33867.8081049,NA,4116818.03109673,33570812103570.6,5794032.45620618,307485,18491330,"Full"
"17_2","Week.5",5,2017-05-22,2017-05-26,"low.risk.high.density",6,12,0,11534.72708157,0,11534.72708157,855141511,0,0,NA,NA,NA,""
"17_2","Week.5",5,2017-05-22,2017-05-26,"Western low.risk.low.density",3,6,0,5715.93063426,0,5715.93063426,525571566,0,0,NA,NA,NA,""
"17_2","Week.5",5,2017-05-22,2017-05-26,"high.risk",6,12,0,12264.28307874,0,12264.28307874,403761732,0,0,NA,NA,NA,""
"17_2","Week.5",5,2017-05-22,2017-05-26,"Eastern low.risk.low.density",3,7,0,6361.93605586,0,6361.93605586,128797748,0,0,NA,NA,NA,""
"17_2","Week.5",5,2017-05-22,2017-05-26,"Total",18,37,0,35876.87685043,0,35876.87685043,NA,0,0,NA,NA,NA,"Full"
"17_2","Week.6",6,2017-05-29,2017-06-02,"low.risk.high.density",6,12,0,11618.68343944,0,11618.68343944,855141511,0,0,NA,NA,NA,""
"17_2","Week.6",6,2017-05-29,2017-06-02,"Western low.risk.low.density",3,6,1,6977.06144443,1,6977.06144443,525571566,75328.4989943122,6231934732.17076,78942.6040371786,9622,281066,""
"17_2","Week.6",6,2017-05-29,2017-06-02,"high.risk",6,12,0,11753.44374127,0,11753.44374127,403761732,0,0,NA,NA,NA,""
"17_2","Week.6",6,2017-05-29,2017-06-02,"Eastern low.risk.low.density",3,6,0,5753.5872317,0,5753.5872317,128797748,0,0,NA,NA,NA,""
"17_2","Week.6",6,2017-05-29,2017-06-02,"Total",18,36,1,36102.77585684,1,36102.77585684,NA,75328.4989943122,6231934732.17076,78942.6040371786,9622,281066,"Full"
"17_2","Week.7",7,2017-06-05,2017-06-09,"low.risk.high.density",6,12,0,11304.48620455,0,11304.48620455,855141511,0,0,NA,NA,NA,""
"17_2","Week.7",7,2017-06-05,2017-06-09,"Western low.risk.low.density",3,6,1,5932.61838246,24.9686865637795,5932.61838246,525571566,2211979.74524822,9623374149032,3102156.37082208,166333,9914999,""
"17_2","Week.7",7,2017-06-05,2017-06-09,"high.risk",6,12,0,12175.13270743,0,12175.13270743,403761732,0,0,NA,NA,NA,""
"17_2","Week.7",7,2017-06-05,2017-06-09,"Eastern low.risk.low.density",3,6,0,6110.6756557,0,6110.6756557,128797748,0,0,NA,NA,NA,""
"17_2","Week.7",7,2017-06-05,2017-06-09,"Total",18,36,1,35522.91295014,24.9686865637795,35522.91295014,NA,2211979.74524822,9623374149032,3102156.37082208,166333,9914999,"Full"
"17_2","Week.8",8,2017-06-12,2017-06-16,"low.risk.high.density",6,12,1,9984.71985203,1,9984.71985203,855141511,85645.0179547242,7187202184.04304,84777.3683481803,12048,307511,""
"17_2","Week.8",8,2017-06-12,2017-06-16,"Western low.risk.low.density",3,6,0,5711.95396772,0,5711.95396772,525571566,0,0,NA,NA,NA,""
"17_2","Week.8",8,2017-06-12,2017-06-16,"high.risk",6,12,0,12115.27981818,0,12115.27981818,403761732,0,0,NA,NA,NA,""
"17_2","Week.8",8,2017-06-12,2017-06-16,"Eastern low.risk.low.density",3,6,0,5961.46950399,0,5961.46950399,128797748,0,0,NA,NA,NA,""
"17_2","Week.8",8,2017-06-12,2017-06-16,"Total",18,36,1,33773.42314192,1,33773.42314192,NA,85645.0179547242,7187202184.04304,84777.3683481803,12048,307511,"Full"
"17_2","Week.9",9,2017-06-19,2017-06-23,"low.risk.high.density",6,12,1,10418.66344365,1,10418.66344365,855141511,82077.8515041864,6647002847.98731,81529.1533623851,11479,295399,""
"17_2","Week.9",9,2017-06-19,2017-06-23,"Western low.risk.low.density",3,6,0,5781.50505394,0,5781.50505394,525571566,0,0,NA,NA,NA,""
"17_2","Week.9",9,2017-06-19,2017-06-23,"high.risk",6,12,0,11630.89748667,0,11630.89748667,403761732,0,0,NA,NA,NA,""
"17_2","Week.9",9,2017-06-19,2017-06-23,"Eastern low.risk.low.density",3,6,0,6037.43195055,0,6037.43195055,128797748,0,0,NA,NA,NA,""
"17_2","Week.9",9,2017-06-19,2017-06-23,"Total",18,36,1,33868.49793481,1,33868.49793481,NA,82077.8515041864,6647002847.98731,81529.1533623851,11479,295399,"Full"
"17_2","Week.10",10,2017-06-26,2017-06-30,"low.risk.high.density",6,12,4,11500.11385138,4,11500.11385138,855141511,297437.580897474,88662240002.6237,297762.052657191,41060,1076151,""
"17_2","Week.10",10,2017-06-26,2017-06-30,"Western low.risk.low.density",3,6,0,5542.1746534,0,5542.1746534,525571566,0,0,NA,NA,NA,""
"17_2","Week.10",10,2017-06-26,2017-06-30,"high.risk",6,12,0,13259.30185657,0,13259.30185657,403761732,0,0,NA,NA,NA,""
"17_2","Week.10",10,2017-06-26,2017-06-30,"Eastern low.risk.low.density",3,6,0,6118.10147179,0,6118.10147179,128797748,0,0,NA,NA,NA,""
"17_2","Week.10",10,2017-06-26,2017-06-30,"Total",18,36,4,36419.69183314,4,36419.69183314,NA,297437.580897474,88662240002.6237,297762.052657191,41060,1076151,"Full"
"17_3","Week.1",1,2017-07-03,2017-07-07,"Western Delta",4,32,0,130559.71010544,0,94293.12396504,279273078,0,NA,NA,NA,NA,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Suisun Bay Marsh",2,5,5,12373.16710014,5,8936.17623899,220105238,123152.678487543,3033969131.70527,55081.477210631,48680,259619,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Lower Sacramento",2,10,0,21249.07875552,0,15346.5568789867,117440529,0,NA,NA,NA,NA,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Cache Slough LI",2,3,37,6047.2392519,37,4367.45057081667,51786023,465829.042925604,260284764311.023,510181.109323956,55125,1789697,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Sac DW Ship Channel",2,4,9,4461.7134408,9,3222.34859613333,14472933,40400.2099762473,183293248.487943,13538.5836957912,20211,72605,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Upper Sacramento",2,13,0,44295.98539674,0,31991.5450087567,50673600,0,NA,NA,NA,NA,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Lower San Joaquin",4,20,1,32097.82709672,1,23181.7640142978,109289061,6099.65582728186,109137278.940515,10446.8789090577,310,30482,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Southern Delta",6,48,0,179539.14666534,0,129667.161480523,255069170,0,NA,NA,NA,NA,""
"17_3","Week.1",1,2017-07-03,2017-07-07,"Total",24,135,52,430623.8678126,52,311006.126753544,NA,635481.587216676,263611163970.157,513430.77816796,123207,1983174,"Full"
"17_3","Week.2",2,2017-07-10,2017-07-14,"Western Delta",2,12,0,62817.8249622,0,45368.4291393667,279273078,0,NA,NA,NA,NA,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Suisun Bay Marsh",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Lower Sacramento",2,10,0,20225.64796098,0,14607.4124162633,117440529,0,NA,NA,NA,NA,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Cache Slough LI",2,7,25,10323.27262428,25,7455.69689531333,51786023,416180.900844323,127128818119.303,356551.28399615,73834,1352904,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Sac DW Ship Channel",2,7,7,10193.869455,7,7362.23905083333,14472933,30847.4921672105,611956596.439648,24737.7564956818,6047,95768,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Upper Sacramento",2,16,0,57880.28528436,0,41802.4282609267,50673600,0,NA,NA,NA,NA,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Lower San Joaquin",4,20,0,37240.14279678,0,26895.6586865633,109289061,0,NA,NA,NA,NA,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Southern Delta",6,45,0,184583.84834274,0,133310.557136423,255069170,0,NA,NA,NA,NA,""
"17_3","Week.2",2,2017-07-10,2017-07-14,"Total",20,117,32,383264.89142634,32,276802.42158569,NA,447028.393011533,127740774715.743,357408.414444516,88025,1384909,"Partial"
"17_3","Week.3",3,2017-07-17,2017-07-21,"Western Delta",4,32,0,120387.74483274,0,86946.7046014233,279273078,0,NA,NA,NA,NA,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Suisun Bay Marsh",2,7,10,13558.01486886,10,9791.89962751,220105238,369781.063866512,121798452935.328,348996.350891135,56271,1285215,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Lower Sacramento",2,9,0,14551.79077044,0,10509.62666754,117440529,0,NA,NA,NA,NA,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Cache Slough LI",2,4,27,5116.81698528,27,3695.47893381333,51786023,906217.35778968,441000033499.898,664078.333858211,202225,2642146,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Sac DW Ship Channel",2,6,40,8721.2344296,40,6298.66931026667,14472933,395477.465641703,81783108483.4486,285977.461495567,89896,1142439,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Upper Sacramento",2,16,0,53937.19548294,0,38954.6411821233,50673600,0,NA,NA,NA,NA,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Lower San Joaquin",4,20,0,40020.6259992,0,28903.7854438667,109289061,0,NA,NA,NA,NA,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Southern Delta",6,48,0,199987.20632352,0,144435.204566987,255069170,0,NA,NA,NA,NA,""
"17_3","Week.3",3,2017-07-17,2017-07-21,"Total",24,142,77,456280.62969258,77,329536.01033353,NA,1671475.8872979,644581594918.674,802858.390327132,616866,3680033,"Full"
"17_3","Week.4",4,2017-07-24,2017-07-28,"Western Delta",4,26,2,116911.71959544,2,84436.24193004,279273078,33263.805385468,1383428353.3823,37194.4667038298,3795,129549,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Suisun Bay Marsh",2,10,2,18635.404326,2,13458.9031243333,220105238,32715.4149593622,1629713719.15426,40369.7128941272,3126,135713,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Lower Sacramento",2,11,0,23194.8441186,0,16751.8318634333,117440529,0,NA,NA,NA,NA,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Cache Slough LI",2,9,0,16139.67549348,0,11656.4323008467,51786023,0,NA,NA,NA,NA,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Sac DW Ship Channel",2,2,62,2659.50471864,62,1920.75340790667,14472933,467168.15615546,3646297535.42492,60384.5802786184,360004,596270,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Upper Sacramento",2,16,0,62158.67756868,0,44892.3782440467,50673600,0,NA,NA,NA,NA,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Lower San Joaquin",4,20,0,49622.74554468,0,35838.6495600467,109289061,0,NA,NA,NA,NA,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Southern Delta",6,45,0,187128.19964586,0,135148.144188677,255069170,0,NA,NA,NA,NA,""
"17_3","Week.4",4,2017-07-24,2017-07-28,"Total",24,139,66,476450.77101138,66,344103.33461933,NA,533147.37650029,6659439607.96148,81605.3895766786,391097,710154,"Full"
"17_3","Week.5",5,2017-07-31,2017-08-04,"Western Delta",8,52,8,265006.57010058,8,191393.63396153,279273078,42241.5061537723,901231772.229566,30020.5225175973,9833,120566,""
